Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.3013457,0.2886182,0.3004403,0.2445251,0.3093736,0.2071404,0.249519,0.1972124,0.263556,0.2834892,0.2763772
0.3251946,0.2876209,0.285436,0.2601863,0.2990406,0.2218856,0.2459416,0.1854039,0.2537206,0.2751822,0.2701715
0.2978548,0.2833483,0.2896734,0.2484314,0.3166934,0.2183233,0.2401622,0.199261,0.2537587,0.2688844,0.2836113
0.31061,0.2972278,0.2760353,0.2404919,0.3180373,0.2211044,0.2443329,0.2047808,0.2583124,0.2713267,0.2534533
0.3106233,0.2906752,0.2898917,0.23728,0.296543,0.22558,0.2460375,0.2100782,0.247987,0.2706449,0.2464339
0.3286226,0.2827591,0.292057,0.228711,0.3040701,0.2289539,0.2466516,0.2099141,0.2597346,0.2696887,0.2453747
0.3176011,0.2821914,0.2865726,0.2434946,0.329838,0.224254,0.238825,0.2041565,0.2601609,0.2692542,0.2435649
0.3220938,0.2992311,0.2894464,0.2363748,0.3117419,0.2083532,0.2377127,0.2020969,0.2420617,0.2727956,0.2499622
0.3496709,0.291514,0.2870644,0.2439394,0.3153313,0.2059115,0.2366203,0.1992709,0.2472377,0.2773465,0.2486715
0.3497469,0.2945937,0.2915038,0.2555454,0.3072638,0.2003965,0.2327784,0.2095476,0.2454059,0.2719517,0.2566722
0.3390021,0.2990663,0.2911858,0.2479193,0.3089371,0.1981214,0.2424094,0.2079227,0.2519583,0.267158,0.2463466
0.3508222,0.3081403,0.2882123,0.2465013,0.3062274,0.1940034,0.2468282,0.2072367,0.2532115,0.2682463,0.2540298
0.3513567,0.3182485,0.2882218,0.2363275,0.3160929,0.2069855,0.255448,0.1952858,0.251505,0.271526,0.2519317
0.3803115,0.3143021,0.2748195,0.2364954,0.2901054,0.2105903,0.2555988,0.1973359,0.2595789,0.2716372,0.2434758
0.3686986,0.3332435,0.2867536,0.2411138,0.3101147,0.2029005,0.2581888,0.2044112,0.2458093,0.2830726,0.2294855
0.368338,0.3243728,0.2817599,0.236772,0.302273,0.2225504,0.2518268,0.2096647,0.2481937,0.2659103,0.2372491
0.3546868,0.3145619,0.2773556,0.2326784,0.3350317,0.2134207,0.2536678,0.2101139,0.2596559,0.2652281,0.2417869
0.3500268,0.3153213,0.2803552,0.2356733,0.3413929,0.2101847,0.2407353,0.211613,0.2551335,0.2739166,0.2535035
0.3943181,0.3160615,0.2822925,0.2531313,0.342576,0.2016127,0.2465362,0.201527,0.2570592,0.2811583,0.2501872
0.4050255,0.2984478,0.2754627,0.2329098,0.3367889,0.2186297,0.2466975,0.1965184,0.2530539,0.2573327,0.2346385
0.4092372,0.2924919,0.277957,0.2333308,0.3256713,0.2169164,0.245025,0.2025145,0.2515879,0.2676275,0.2413015
0.4143547,0.2903892,0.2824659,0.2384351,0.3185332,0.2191937,0.2446834,0.2035672,0.2570504,0.2804238,0.2262676
0.4285726,0.3116143,0.2732191,0.2457877,0.3050972,0.2458531,0.2446535,0.2036315,0.2517852,0.2811577,0.2399267
