Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.4482997,0.3345749,0.2939097,0.2881345,0.2984667
0.4532905,0.3206461,0.2829799,0.301186,0.3105778
0.4613819,0.3218062,0.2975121,0.2853038,0.306228
0.4644979,0.320506,0.2958437,0.289664,0.310977
0.4381551,0.3203115,0.310767,0.2848675,0.3147829
0.4432263,0.3155719,0.2999569,0.2853408,0.315664
0.4329749,0.3252474,0.3191184,0.2908347,0.3229035
0.4416919,0.32722,0.3317086,0.2758948,0.3153297
0.4514985,0.3363306,0.3314459,0.2705163,0.3077076
0.4599411,0.3279733,0.3424433,0.2851872,0.3256725
0.4444379,0.3232951,0.3569253,0.2835552,0.3194992
0.4409521,0.3224201,0.3572336,0.2682274,0.332254
0.438227,0.3312493,0.3544713,0.2767177,0.3245442
0.4420832,0.3287873,0.3643873,0.2904224,0.3329801
0.4436522,0.3320004,0.3451101,0.2864746,0.3196037
0.4287979,0.3460947,0.3573097,0.295737,0.312708
0.4322951,0.3587875,0.3666009,0.2773487,0.3192024
0.4365725,0.3446986,0.3647907,0.2826676,0.3048812
0.4320132,0.3429615,0.3533057,0.2878368,0.2942101
0.4299445,0.3369113,0.35332,0.2896971,0.3044769
0.4140429,0.3511264,0.3520202,0.2884826,0.3194111
0.4235837,0.3403235,0.3509451,0.2827484,0.3132938
0.429576,0.3370878,0.3413396,0.2703021,0.3134862
0.4239309,0.3451671,0.330685,0.2966939,0.3124001
0.419858,0.3425252,0.3205415,0.2753206,0.3114071
0.4407758,0.3553208,0.322534,0.2834118,0.3206971
0.4262031,0.3633233,0.3156797,0.2715772,0.3217312
0.4472399,0.3580781,0.3281098,0.2476776,0.3380684
0.4502623,0.3583509,0.3277184,0.2671035,0.3239468
0.4767447,0.3589088,0.3243491,0.2623575,0.3251176
0.4745826,0.3631869,0.3143045,0.2525665,0.3192927
0.4600289,0.3759323,0.3426947,0.2582789,0.3157135
0.4439248,0.364588,0.31376,0.2580946,0.3147177
0.4584647,0.3516299,0.3191397,0.2761018,0.3229407
0.4641168,0.3530898,0.318009,0.2534881,0.3167251
0.4558865,0.3548101,0.326476,0.2498732,0.3176514
0.4521809,0.3483724,0.3227368,0.2583536,0.3103549
0.4492926,0.3696318,0.3303758,0.2632257,0.3087772
0.4491066,0.3719522,0.3426483,0.268513,0.318903
0.4395722,0.3322621,0.3209369,0.268794,0.3127414
0.4301697,0.3395001,0.3149508,0.2672641,0.3282087
0.4323303,0.3438856,0.3234832,0.2775536,0.338063
0.4203137,0.3536658,0.3032826,0.2594151,0.3380872
0.4278902,0.3547364,0.2748854,0.2750467,0.3369832
0.4340205,0.3726337,0.2975318,0.2737286,0.3313643
0.4308184,0.3541586,0.2944302,0.2817572,0.3304979
0.4307225,0.3660583,0.2890342,0.293047,0.3386618
0.4268906,0.3540402,0.2954731,0.2879166,0.3255984
0.4251063,0.3596654,0.2913937,0.2885296,0.3398576
0.4420134,0.3453513,0.2915217,0.2883392,0.3204584
0.4448046,0.3542979,0.2797722,0.2893373,0.3322935
0.447809,0.3603692,0.2908657,0.2895772,0.3249606
0.4664382,0.3726138,0.276882,0.2889901,0.3403989
0.4490692,0.3539424,0.2895063,0.2921442,0.3326005
0.4224323,0.3481119,0.2977842,0.28172,0.3333725
0.402852,0.3498886,0.3053653,0.2749746,0.3340869
0.4021165,0.3402634,0.294638,0.2646365,0.3405169
0.4038315,0.3485192,0.2757873,0.2741699,0.3265354
0.3871582,0.3532783,0.279256,0.3015693,0.3341288
0.4053915,0.3703665,0.2750319,0.3116345,0.3368351
0.4239468,0.3725662,0.2783202,0.2927624,0.3501379
0.4574842,0.3766237,0.2772934,0.2793549,0.3337576
0.4400873,0.3723035,0.2684181,0.2678653,0.3155956
0.4326085,0.3770987,0.2745758,0.2638353,0.3179505
0.4390066,0.3760435,0.2829997,0.274647,0.3040732
0.4350863,0.3745756,0.2679636,0.2739649,0.3148372
0.4033807,0.3582471,0.2681923,0.275012,0.3116438
0.4171102,0.3731028,0.2750093,0.2821464,0.2973321
