Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.3120156,0.5057358,0.5322928,0.5376555,0.55148
0.2948367,0.5248918,0.5427318,0.5465102,0.5577925
0.3046465,0.525286,0.5529815,0.5360204,0.5764341
0.2971707,0.5110064,0.5322246,0.5162589,0.6041703
0.3015926,0.5045485,0.5202724,0.5107502,0.5840315
0.2783049,0.5219216,0.5037199,0.5147825,0.573944
0.2802038,0.5087057,0.5100755,0.5242659,0.5735271
0.3011517,0.4859425,0.5288521,0.5350505,0.5772904
0.3033456,0.4855998,0.5532152,0.5456316,0.5761782
0.2998635,0.4787141,0.5717179,0.5304701,0.5955955
0.3052459,0.476043,0.5600663,0.5282147,0.6068844
0.3135892,0.4870825,0.5517125,0.5346845,0.6020654
0.3015547,0.4854966,0.5503255,0.547449,0.6007264
0.305393,0.4978165,0.5484765,0.5218856,0.6171023
0.3042881,0.4861901,0.5681224,0.5380054,0.6270381
0.3052195,0.5067381,0.5508441,0.5149097,0.6318321
0.3059189,0.5140328,0.5613826,0.5347616,0.6061809
0.2983117,0.5136781,0.54689,0.5234928,0.6162159
0.2957491,0.5435501,0.5331239,0.5229485,0.6327784
0.297727,0.5437555,0.4918344,0.5356981,0.6395515
0.2998638,0.5348894,0.4939659,0.5407543,0.6488287
0.2954524,0.5448319,0.4944245,0.5607637,0.6355547
0.3028148,0.5668449,0.5051358,0.5660534,0.6427447
0.2852277,0.5870234,0.4994598,0.5554431,0.6416008
0.2796768,0.5930012,0.5091555,0.5504361,0.6053452
0.2797551,0.5527618,0.4984984,0.5510887,0.6420348
0.2700216,0.545549,0.4808189,0.5466096,0.6357803
0.2739818,0.54642,0.4729085,0.5666814,0.6348608
0.2805934,0.5555691,0.4851807,0.5372774,0.6338623
0.2816311,0.569357,0.4775506,0.5550696,0.6431921
0.2719726,0.5776655,0.4907579,0.5520192,0.6796098
0.2656433,0.5784108,0.5076216,0.5587331,0.6814731
0.2688318,0.5661893,0.5266765,0.5601116,0.6666368
0.2846654,0.5686344,0.5365326,0.5500979,0.6368806
0.2801057,0.5383501,0.534707,0.5539113,0.6047742
0.2833265,0.5661206,0.5376274,0.5426081,0.6320653
0.2855793,0.5516397,0.5436824,0.536315,0.6411174
0.2723496,0.5468627,0.5517066,0.5454736,0.6288221
0.2708972,0.5424874,0.5677701,0.5166678,0.6160325
0.2815107,0.5364285,0.5416877,0.5240738,0.6321172
0.2920656,0.5363302,0.5377986,0.5435784,0.6385419
0.2886737,0.5285692,0.5374492,0.552125,0.6582494
0.2761326,0.5571554,0.5674081,0.5343393,0.6462028
0.2756656,0.5512435,0.5502245,0.5454612,0.6675251
0.2684454,0.5514328,0.5357621,0.5324317,0.6884141
0.2859118,0.5529313,0.5641842,0.5246459,0.7033949
