Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.2537238,0.2569405,0.2304493,0.2385373,0.2217441
0.2434129,0.2556295,0.2291809,0.2432991,0.2156788
0.2357599,0.2608606,0.2450094,0.2332579,0.2190772
0.2419772,0.2461767,0.2337137,0.2310331,0.2085416
0.2430735,0.253613,0.2389537,0.2408552,0.2247957
0.2382108,0.2550803,0.2323474,0.2416857,0.2112689
0.232486,0.2539663,0.2419336,0.2299668,0.2152654
0.2686855,0.2604951,0.2267009,0.2284264,0.2222532
0.2717225,0.2599856,0.2255106,0.2240351,0.2297968
0.2537273,0.2584527,0.2348128,0.2244498,0.2334204
0.2546825,0.2594634,0.2307128,0.2244869,0.2307567
0.2377652,0.2585388,0.2364475,0.227011,0.2440474
0.2465766,0.2649787,0.2440032,0.2246857,0.2365814
0.2573915,0.256692,0.2424284,0.2317842,0.2453987
0.2474841,0.2573863,0.2368733,0.2246255,0.239778
0.2251921,0.2531676,0.2450644,0.2309929,0.2428543
0.2247054,0.2561362,0.2420158,0.2308413,0.2346971
0.2205202,0.2489996,0.2399588,0.2271129,0.2369322
0.2152815,0.2482432,0.2426512,0.2203179,0.2443264
0.2327539,0.2686434,0.2286913,0.2268886,0.2418626
0.2328436,0.2503457,0.2307297,0.2205569,0.2434479
0.2148238,0.256988,0.2291893,0.2436062,0.2338877
0.2253311,0.2688397,0.2318276,0.243226,0.2285245
0.2236745,0.2602299,0.2467179,0.233681,0.2359273
0.2236816,0.2620493,0.2377681,0.2344849,0.2274748
0.2283085,0.2463631,0.2349003,0.2325885,0.2250935
0.2203795,0.2384816,0.2339138,0.2268727,0.225486
0.2275675,0.2540629,0.2128156,0.2250492,0.2366348
0.2203558,0.2506275,0.2222521,0.2240413,0.2317822
0.2250582,0.2437422,0.2385138,0.2121869,0.2242091
0.2390613,0.2375052,0.244244,0.2248402,0.2306733
0.2331899,0.2566897,0.231346,0.231449,0.2281762
0.2383265,0.2487758,0.2366122,0.2334738,0.2343318
0.2437086,0.2536466,0.2343921,0.224937,0.2327897
0.2425245,0.2653094,0.2351961,0.2298791,0.2311924
0.2550168,0.2513025,0.239761,0.2330061,0.2369633
0.2405906,0.2537282,0.2400242,0.2361437,0.2289029
0.2449614,0.2453166,0.2307048,0.2388678,0.23519
0.2255782,0.2447328,0.2249267,0.2244976,0.2199081
0.2230203,0.2485106,0.228781,0.2231687,0.2178512
0.2109459,0.2455944,0.2324569,0.2190674,0.2181859
0.2183793,0.2538851,0.2495468,0.2320684,0.2269089
0.2214131,0.2563886,0.2518002,0.2366115,0.2391699
0.2275386,0.2489809,0.2480757,0.2435437,0.2334326
0.229118,0.2456376,0.2415863,0.2378903,0.2416645
0.2239686,0.2563035,0.2327078,0.238607,0.2232913
0.2191541,0.2488602,0.230313,0.2339003,0.2115762
0.2160844,0.2563909,0.2368316,0.2335976,0.215469
0.2160101,0.2455042,0.2542528,0.2371184,0.2278845
0.2273733,0.2414081,0.2524953,0.2343325,0.2429685
0.2155979,0.2618481,0.254795,0.2444413,0.2400204
0.2122942,0.2688653,0.246618,0.239033,0.2417192
0.2263238,0.2718153,0.246951,0.2254394,0.2433499
0.2297558,0.2742247,0.2406199,0.2349124,0.2454908
0.23351,0.262362,0.2457507,0.2321134,0.2357686
0.2237776,0.2566904,0.2538052,0.2296734,0.2362041
0.2362293,0.2658254,0.2490091,0.2376772,0.2458598
0.2364419,0.2758034,0.2415776,0.2332406,0.251028
0.2385052,0.26825,0.2435957,0.2444164,0.235421
0.228695,0.2619802,0.2514876,0.2395326,0.2423978
0.2212604,0.2671999,0.2449353,0.2205354,0.2437955
0.2256791,0.2641152,0.2549371,0.2393713,0.226024
0.2262617,0.2526126,0.2534424,0.2347472,0.2230119
0.2190492,0.2631805,0.2421649,0.2299328,0.236811
0.226936,0.2564634,0.2447293,0.2369329,0.2364413
0.2375002,0.2448603,0.2433926,0.2153024,0.2401654
0.219165,0.249076,0.2587678,0.2383004,0.239024
0.2269844,0.2580038,0.2453138,0.2292687,0.2403988
0.2342394,0.253945,0.2497375,0.2240261,0.2469269
0.2351859,0.2720703,0.2444747,0.2191594,0.2440791
0.2222983,0.2640024,0.2422396,0.208174,0.2517078
0.2232973,0.2668776,0.2396194,0.2066178,0.2365839
0.2401555,0.2617821,0.2386392,0.2203421,0.2399305
0.23017,0.2530775,0.2513953,0.2121199,0.2475695
0.2329915,0.2635577,0.2550263,0.2169914,0.24139
0.2241984,0.2464662,0.2373642,0.2145775,0.2332404
0.2251214,0.2561352,0.2369133,0.2287394,0.2467656
0.2342107,0.2615883,0.2441241,0.2085049,0.2467276
0.2425013,0.259728,0.2535476,0.2221254,0.2367787
0.2369196,0.2602665,0.2464893,0.2151368,0.2261565
0.2403609,0.2573681,0.2421772,0.2152343,0.2173337
0.2307318,0.2622638,0.2441442,0.2190309,0.2350393
0.2257152,0.2638599,0.2339023,0.2167846,0.2287173
0.2272673,0.2487776,0.2331305,0.2149452,0.2332469
0.2348109,0.2663501,0.2270248,0.2176475,0.2308359
0.216253,0.2417838,0.2350115,0.2213307,0.2348642
0.2265236,0.2545629,0.2378857,0.2254077,0.2314046
0.2374086,0.2586549,0.2406203,0.2321633,0.2372766
0.229865,0.2370228,0.2357115,0.2251326,0.2382758
0.2284908,0.2453413,0.2348595,0.2272294,0.2377746
0.2258219,0.2520694,0.2434954,0.2382078,0.2347703
0.2269758,0.2450779,0.2485714,0.227012,0.2403958
0.2404859,0.2524833,0.2341328,0.2373667,0.2330512
0.2435323,0.2518137,0.2395061,0.2278026,0.231136
0.2280039,0.2494487,0.2346088,0.2320336,0.2375568
0.2463873,0.2547174,0.2322558,0.2316363,0.2500416
0.2231826,0.2529462,0.2320206,0.2375569,0.2412918
0.2348491,0.2513748,0.2361181,0.2300361,0.246435
0.22808,0.2455905,0.2363447,0.2354615,0.249925
0.2246576,0.2418046,0.2327064,0.2325227,0.263354
0.2220204,0.2565992,0.2250083,0.2320049,0.2662098
0.2308796,0.260001,0.23644,0.2287457,0.2534045
0.2353855,0.255666,0.2458247,0.2473891,0.2591207
0.2245695,0.2558915,0.2377765,0.2404679,0.2691716
0.2380148,0.2424802,0.2288019,0.2310732,0.2486807
0.2201887,0.2613805,0.2419517,0.2185657,0.2351273
0.2207032,0.254913,0.2517058,0.2195836,0.2456628
0.2186641,0.2453329,0.2384544,0.2223299,0.2426835
0.2131498,0.2494092,0.2443644,0.2267565,0.2377403
0.1961786,0.2485953,0.232762,0.222905,0.2461167
0.2081758,0.2592289,0.2395603,0.2302005,0.2301745
0.2164509,0.2595474,0.2365941,0.2242801,0.2318537
0.2276239,0.2526089,0.2260488,0.2251874,0.2247239
0.2140065,0.2578906,0.2228475,0.2196504,0.2318272
0.2218643,0.2566146,0.2275396,0.2294252,0.2299871
0.2272156,0.2533496,0.2302035,0.2220517,0.2428709
0.2290408,0.2530146,0.2223436,0.2373133,0.2323651
0.2242906,0.2518988,0.2253978,0.2278052,0.244062
0.2352611,0.2619942,0.242525,0.2303328,0.2252035
0.2343222,0.2483821,0.2276351,0.2365924,0.2341214
0.2267756,0.2478764,0.2252753,0.2248846,0.2349537
0.2257568,0.2534503,0.2296876,0.230227,0.2385872
0.2290096,0.2549118,0.2305071,0.2250153,0.2306806
0.225724,0.2545189,0.2229658,0.227624,0.2410216
0.2232508,0.2503232,0.2189858,0.2285061,0.2454416
0.2106428,0.2548486,0.2239592,0.2251453,0.249739
0.2204987,0.2707215,0.2372323,0.2195591,0.2372112
0.2316852,0.266733,0.2240778,0.2293044,0.2420825
0.2234134,0.267078,0.2332417,0.2297051,0.2552616
0.2200683,0.2863192,0.2434028,0.231088,0.2576792
0.2162282,0.2806299,0.232645,0.2347866,0.2537054
0.2172469,0.277121,0.2433847,0.2311913,0.257578
0.2263675,0.2765003,0.2385575,0.2346425,0.2521677
0.2227544,0.2724316,0.2324524,0.2358979,0.2562771
0.2180334,0.2481228,0.2316061,0.2336696,0.2504874
0.2202897,0.2604152,0.2405344,0.2320194,0.2519741
0.2248978,0.2576,0.226779,0.2274104,0.2431027
0.2324735,0.2678099,0.2305856,0.2315026,0.2672867
0.2210077,0.2534771,0.2278986,0.2290941,0.2590407
0.2199495,0.2574108,0.2361483,0.2356889,0.2688368
0.2230724,0.2452688,0.2272917,0.2397286,0.2527716
0.223637,0.2408449,0.2345247,0.2340267,0.2582192
0.2236202,0.2412332,0.2321924,0.2257167,0.259618
0.2222402,0.242362,0.2246508,0.2322018,0.2594978
0.2258849,0.2496739,0.2288219,0.2318298,0.2635884
0.2367654,0.2526276,0.2353044,0.2291536,0.2590367
0.2256832,0.2414552,0.2239452,0.2284811,0.2612101
0.2256322,0.253002,0.2154191,0.2376409,0.2704676
0.2261547,0.255771,0.2452947,0.2278858,0.2664097
0.2110244,0.2368628,0.2252844,0.2271208,0.2636956
0.2254643,0.2462741,0.2305242,0.2419658,0.2579928
0.2252609,0.2466865,0.2277083,0.2344859,0.2534279
0.2266441,0.2499885,0.234129,0.2368349,0.2592287
0.2198472,0.2438714,0.2344243,0.2248154,0.2557373
0.2277285,0.2486129,0.2364457,0.2323321,0.2412956
0.2249068,0.2569642,0.2391315,0.2291268,0.2697755
0.2152427,0.2449861,0.223399,0.2166449,0.2701989
0.223733,0.2473862,0.2311181,0.2183107,0.2726394
0.2322838,0.2608719,0.2214572,0.2319236,0.2752421
0.2185087,0.2569285,0.2341588,0.2204413,0.2753313
0.2297095,0.2504808,0.2284892,0.2233152,0.2872411
0.2368785,0.2462906,0.2406882,0.2309098,0.2641193
0.2374301,0.2427166,0.2241657,0.2302872,0.2667299
0.2339187,0.2401842,0.2296995,0.2206263,0.2571857
0.2429535,0.2511955,0.2276275,0.2325131,0.2574083
0.2319703,0.2393135,0.2367698,0.2413688,0.2707081
0.215185,0.2403662,0.2397792,0.2387802,0.2593033
0.2282265,0.2414387,0.2426368,0.23721,0.2697781
0.224237,0.2403381,0.2416839,0.2437827,0.257786
0.2247583,0.2477838,0.2376307,0.2439308,0.2617685
0.2153898,0.2658435,0.2466934,0.2377126,0.2661199
0.2240644,0.2675826,0.2469091,0.2514708,0.2568948
0.2301824,0.2594204,0.2356203,0.2333083,0.2505403
0.2173158,0.2606264,0.2379751,0.221971,0.2600133
0.2158344,0.2529776,0.2344424,0.2203592,0.2653885
0.2169447,0.2646126,0.2182869,0.2212028,0.2619088
0.2278078,0.277544,0.2223851,0.2159564,0.2490088
0.2241278,0.2850724,0.2366775,0.2281539,0.2626824
0.2227405,0.2801278,0.2255901,0.2509231,0.2585083
0.222168,0.2779639,0.2416388,0.2332878,0.2653433
0.224738,0.2764817,0.2386497,0.2316215,0.263646
0.2253323,0.2803025,0.2402471,0.2360027,0.2583473
0.2281877,0.2820453,0.2298937,0.2330963,0.2632433
0.2241159,0.2807256,0.230713,0.235533,0.2721421
0.2085112,0.2784746,0.2518953,0.2407534,0.2840124
0.2158449,0.2742573,0.2414601,0.2520944,0.2670226
0.214379,0.2856387,0.2500091,0.2361112,0.2786659
0.2176442,0.2773577,0.2396809,0.2282324,0.2776449
0.2077573,0.2841236,0.2420869,0.2362469,0.2827654
0.2304952,0.26966,0.256895,0.2396735,0.2956822
0.2225481,0.2801634,0.2346584,0.2301178,0.2893041
0.2116398,0.2834735,0.2416915,0.2346984,0.2858486
0.2152412,0.2771661,0.2491127,0.2392614,0.2714651
0.2102908,0.2614848,0.2516018,0.230445,0.2786713
0.2098678,0.2639966,0.2349364,0.2384426,0.2723174
0.2152902,0.2634215,0.2314302,0.2409043,0.2845633
0.2281622,0.277334,0.2374192,0.2244546,0.2913198
