Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.3608678,0.7955297,0.5702004,0.591715,0.569786,0.472711,0.6663329,0.4268547,0.5948282,0.4291855,0.514186
0.3662015,0.806954,0.5802477,0.6131263,0.574338,0.4534269,0.6792337,0.4358283,0.5621974,0.4244165,0.517473
0.3646083,0.8183857,0.582721,0.6315848,0.5763552,0.4693289,0.6558784,0.4250374,0.5656848,0.4367638,0.4871253
0.3659113,0.8159385,0.5903655,0.6339798,0.5720713,0.5070202,0.6372351,0.4473372,0.5693078,0.4157805,0.4916542
0.3586307,0.7981026,0.6164005,0.6571384,0.5960391,0.5033122,0.6317002,0.4465069,0.5343121,0.4269668,0.5072803
0.3486753,0.795993,0.6239185,0.6758518,0.6162792,0.4982433,0.6378316,0.4597371,0.5344402,0.4423945,0.5471653
0.3552614,0.8371811,0.6281717,0.6915647,0.6249996,0.488744,0.6236812,0.4575678,0.5268376,0.445949,0.5638627
0.3704538,0.8561352,0.6422306,0.7030732,0.6122178,0.5052661,0.6250233,0.4536883,0.5025373,0.424659,0.5663424
0.3868428,0.8437989,0.6458563,0.6888215,0.6193036,0.5216149,0.6113883,0.4557696,0.5234059,0.4335853,0.5599884
0.3860897,0.8492557,0.6391628,0.6907961,0.6013415,0.5103547,0.5904163,0.4559518,0.5252897,0.4311706,0.5580967
0.3701432,0.8347453,0.6473112,0.6917918,0.5951006,0.4996512,0.5877412,0.4518388,0.5050921,0.4204163,0.5610468
0.3779797,0.7902934,0.6680802,0.672184,0.6118664,0.4851293,0.587765,0.4547087,0.5041019,0.4165391,0.5720163
0.3886975,0.7835572,0.6712736,0.6579143,0.6087663,0.464796,0.6031911,0.4608948,0.4952601,0.4172518,0.5776697
0.3917853,0.8089844,0.6718561,0.6312571,0.6133528,0.4435574,0.6009981,0.4864236,0.5077497,0.4343201,0.5751693
0.3941346,0.8121214,0.6763998,0.6364204,0.6226846,0.4497439,0.5965596,0.4907377,0.5061142,0.4584041,0.5683723
0.3963301,0.8107045,0.6835455,0.6417669,0.6404855,0.4533812,0.6112214,0.4984364,0.4945197,0.4876498,0.5656121
0.3994055,0.8125265,0.7070668,0.6605385,0.6494198,0.4449917,0.5874255,0.5158853,0.4915179,0.4928042,0.5575736
0.4080892,0.8107826,0.7382763,0.6669131,0.6439723,0.4359251,0.5945348,0.5387166,0.4842618,0.4811322,0.5563614
0.4212825,0.7817751,0.7049132,0.6632165,0.6294866,0.4484268,0.5903202,0.5319484,0.4927816,0.4801349,0.5669076
0.4198058,0.7758649,0.6872932,0.6821777,0.6095665,0.4589205,0.6138903,0.5427952,0.498897,0.4819345,0.5716909
0.4107463,0.7762669,0.6925089,0.7003302,0.6118437,0.4380038,0.605324,0.5516037,0.5166826,0.4872345,0.5749951
0.4049971,0.7780777,0.6902023,0.7132906,0.6149811,0.4353605,0.5996177,0.5429087,0.5422887,0.507006,0.5999043
0.4175985,0.779389,0.6957719,0.7081043,0.6177757,0.4385955,0.6063348,0.5667679,0.5341285,0.4863791,0.585644
0.4451266,0.7852492,0.6872419,0.6832293,0.622294,0.4370987,0.6067447,0.5708553,0.5303882,0.4874457,0.5801355
0.4437414,0.7755243,0.6821752,0.6776657,0.62348,0.42743,0.6134756,0.5632758,0.5331786,0.4870279,0.5604196
0.4459799,0.770062,0.6953238,0.6825838,0.5887102,0.4389328,0.5933476,0.5688202,0.5174768,0.4964249,0.5541753
0.4305508,0.7854608,0.6987975,0.6666117,0.5620953,0.4542351,0.5919204,0.5891173,0.5107423,0.499888,0.54524
0.4414445,0.7877761,0.7097136,0.6505203,0.5453224,0.4342387,0.5905368,0.58117,0.5201041,0.4967224,0.5425059
0.4501472,0.7823852,0.6946258,0.6583959,0.5451003,0.417278,0.6040646,0.6046636,0.5572565,0.484451,0.5533423
0.4490635,0.7746641,0.6871309,0.6478032,0.5383232,0.4261903,0.6297086,0.6262369,0.5684384,0.4954078,0.5620625
0.4670602,0.7408024,0.6883662,0.6474556,0.5392432,0.4379681,0.6569461,0.6551009,0.5530853,0.4862529,0.5739897
0.4742567,0.7332649,0.6865252,0.6539192,0.5353803,0.4394932,0.6692714,0.6476539,0.559354,0.4749805,0.584248
0.4870435,0.758113,0.6969915,0.6514271,0.5304131,0.4399057,0.6566556,0.6745002,0.5647185,0.4875611,0.5753666
0.5025471,0.7678892,0.684211,0.6625519,0.5173975,0.4443573,0.6552744,0.6748157,0.5842644,0.5077631,0.5854942
0.4949141,0.7546389,0.6905622,0.6575577,0.5208312,0.470285,0.6641846,0.692882,0.5685899,0.519242,0.5969045
0.4938895,0.74785,0.6660247,0.6663208,0.5159963,0.4909307,0.6468151,0.7044259,0.5668628,0.5390224,0.6012104
0.491981,0.7325445,0.6711929,0.6661316,0.4958175,0.5026592,0.6491575,0.7101262,0.566033,0.5725695,0.6048447
0.4919084,0.7063906,0.6696057,0.6786371,0.5083733,0.4993687,0.6593035,0.7004235,0.5599198,0.5759442,0.6104113
0.4848424,0.6876464,0.6738945,0.675239,0.5064437,0.4889409,0.6487568,0.7131116,0.5594564,0.5800557,0.6065525
0.482226,0.6877609,0.6819851,0.6964324,0.516566,0.474281,0.6524618,0.7082335,0.5760676,0.5637343,0.6086212
0.4716843,0.7029313,0.6876334,0.6899452,0.5104637,0.4705552,0.6675073,0.6797202,0.5850118,0.5865468,0.6216015
0.4670602,0.7156845,0.7108206,0.698158,0.5327458,0.4901614,0.681289,0.6821194,0.596657,0.6073246,0.6394861
0.469119,0.7232149,0.7428807,0.7169988,0.556515,0.5043675,0.691446,0.6805345,0.5842775,0.6046374,0.622167
0.4744866,0.7417467,0.7536073,0.7133221,0.5634317,0.4979116,0.6859906,0.6987796,0.5801044,0.5942797,0.6262631
0.4650344,0.7278168,0.736636,0.6970358,0.5727775,0.5092991,0.6777551,0.707555,0.5893664,0.6009277,0.6241755
0.4649136,0.7249479,0.7298551,0.6862234,0.5792797,0.5005927,0.6522539,0.719317,0.59372,0.6056399,0.6141606
0.4769093,0.7315912,0.6925296,0.6793605,0.5905334,0.4937631,0.6594949,0.7409838,0.5976753,0.6213946,0.6229896
0.4785841,0.7327259,0.7000248,0.7099017,0.5919995,0.4886149,0.6676925,0.7526178,0.6003509,0.6206778,0.6140682
0.4800221,0.7440512,0.7080913,0.6919085,0.5655386,0.4977812,0.6640904,0.7799551,0.5902994,0.6347901,0.5982906
0.466935,0.736731,0.7095289,0.6797662,0.5573134,0.5239983,0.6390833,0.80067,0.5764837,0.6395343,0.5926118
0.4660918,0.7537243,0.7199129,0.6784731,0.5613954,0.5556028,0.6467928,0.818148,0.5919737,0.6516019,0.5924102
0.4669929,0.7708173,0.732195,0.690583,0.5414634,0.5700808,0.6404367,0.8117765,0.5890139,0.6352369,0.6091931
0.4546769,0.790693,0.7540038,0.6855147,0.5415286,0.5764753,0.64674,0.8066866,0.6350225,0.6469877,0.5973018
0.4562957,0.7851251,0.7455124,0.7054507,0.5394803,0.5830572,0.6590286,0.8222919,0.652026,0.6509933,0.6078346
