Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.4715237,0.5185679,0.7945231,0.942352,0.8873875
0.4763293,0.5021977,0.8068653,0.95799,0.8891933
0.4859752,0.5136815,0.8044621,0.984699,0.9014369
0.4904841,0.5256296,0.7937869,0.9974135,0.9106944
0.5010152,0.5220321,0.7848771,1.0053699,0.909373
0.5105173,0.5078359,0.7832585,1.006392,0.9193882
0.5160261,0.5255926,0.8029757,1.0082473,0.9129363
0.5083854,0.5466312,0.8061522,1.0139288,0.9256467
0.5033628,0.5960157,0.8025066,1.0241705,0.9473939
0.4998337,0.5822649,0.7999077,1.0341094,0.9393474
0.4923023,0.5753657,0.8021638,1.0363877,0.9313477
0.4738163,0.5824462,0.8098751,1.0246975,0.9333274
0.4672605,0.5974966,0.8093391,1.0259079,0.9263238
0.4710506,0.6049405,0.8183716,1.0276601,0.9582971
0.4510695,0.6078781,0.7947928,1.0340561,0.960023
0.4606582,0.6091389,0.79983,1.0581869,0.9631963
0.4840604,0.5935546,0.7994671,1.0411477,0.9790635
0.4985514,0.5985246,0.7994129,1.0352684,0.9930197
0.496912,0.6185685,0.7944469,1.0207771,0.9793707
0.5043494,0.6382943,0.8176548,1.0030407,0.9808776
0.5119906,0.6488754,0.8388551,1.012447,0.980461
0.5250442,0.6378919,0.8395228,1.0376931,1.0021387
0.5301636,0.6590427,0.8660596,1.0544535,1.0030056
0.5318077,0.6734848,0.8614815,1.0648444,1.014024
0.5386065,0.6846699,0.8684015,1.0553561,1.0185426
0.530441,0.6804023,0.8509257,1.0380865,1.0299715
0.5263833,0.7124033,0.8584522,1.0588943,1.0150563
0.513732,0.7152261,0.8722976,1.0497073,1.0348793
0.515025,0.7136607,0.872695,1.0462847,1.034031
0.5043164,0.6842579,0.8853849,1.0705912,1.0399926
0.4998273,0.6949883,0.8827086,1.0840816,1.037706
0.4937272,0.7190142,0.8766921,1.0870274,1.0413995
0.5010808,0.7216474,0.8718765,1.0652711,1.0512055
0.4888254,0.6907292,0.864871,1.0513415,1.0660727
0.4869497,0.6833665,0.8732542,1.0553583,1.0729054
0.4902043,0.6670449,0.8741058,1.0426648,1.1008804
0.4821037,0.6670058,0.8822564,1.0465413,1.1134939
0.4779727,0.6747976,0.8759659,1.0404189,1.107541
0.4807027,0.6700777,0.8688715,1.0409751,1.0914114
0.4785848,0.6818205,0.8422887,1.0195814,1.1084377
0.4829613,0.6995327,0.8190581,1.0166676,1.1110928
0.4945165,0.6957201,0.8033944,1.0241843,1.1055819
0.4990596,0.7003571,0.7900858,1.0247786,1.0865761
0.4902223,0.7123806,0.791546,0.9986349,1.0486875
0.4880309,0.7105387,0.7918462,0.9768717,1.0621903
0.5060162,0.7146589,0.7936201,0.9845759,1.0995286
0.5121239,0.7019486,0.7941546,0.9833147,1.1193888
0.5105072,0.6998222,0.7963717,0.9775216,1.1240548
0.5089268,0.6968807,0.8137342,0.9607931,1.1385117
0.4955841,0.688193,0.8072442,0.9733112,1.1379166
0.4966396,0.6877435,0.8139894,0.9944993,1.1108415
0.5038187,0.7196373,0.8127894,0.9962157,1.1311249
0.5002427,0.7375407,0.8334824,1.0038927,1.1343324
0.5059252,0.7259451,0.8617916,1.0119472,1.1283414
0.5112432,0.7473178,0.8874344,1.0022161,1.1334894
0.5147067,0.7588184,0.8883903,0.9951476,1.1410646
0.5078127,0.7801038,0.902092,0.9819076,1.1384616
0.4977781,0.7947431,0.9011617,0.9804098,1.1502777
0.4969127,0.7871669,0.9201116,1.0043027,1.1364995
0.4875044,0.7875781,0.9199954,1.0262872,1.1423687
0.4754122,0.7812698,0.9118339,1.0441331,1.1675957
0.4809401,0.7792916,0.9169371,1.0734155,1.1808294
0.4807137,0.7930699,0.8966356,1.0722177,1.184262
0.480715,0.7694713,0.8884364,1.055746,1.1974571
0.4671471,0.7870677,0.8793986,1.0649934,1.2228191
0.4726854,0.7938988,0.9122748,1.0376089,1.2133952
0.4739865,0.7758456,0.9336329,1.0509984,1.2217878
0.4662925,0.7755301,0.9506254,1.0240483,1.2213234
0.4636616,0.7868477,0.9436372,1.019415,1.2097886
0.4525714,0.7997318,0.9394695,0.9854354,1.2054579
0.4482027,0.833077,0.9250686,0.9847715,1.205587
0.4508257,0.8459984,0.9116756,0.9750437,1.2051269
