Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.2713321,0.4276112,0.4770012,0.4683259,0.4060148,0.458897,0.5398052,0.5413353,0.5117318,0.4279001,0.5341323
0.2731672,0.4431084,0.4691564,0.4601967,0.431965,0.4826769,0.5157953,0.5407521,0.5289701,0.4414089,0.5537084
0.2762432,0.4373801,0.4598699,0.4824737,0.4355154,0.5015067,0.5287388,0.5570873,0.5155434,0.4224645,0.5676811
0.2804256,0.4382924,0.4579573,0.4753547,0.4361957,0.5244275,0.5397297,0.5644596,0.5134785,0.4322253,0.5659397
0.2865762,0.4257607,0.4569055,0.4611833,0.4114885,0.5429159,0.5475125,0.5562581,0.5045466,0.4381122,0.5944676
0.265944,0.414762,0.4506973,0.479149,0.4153812,0.5228153,0.5736802,0.5643939,0.4923531,0.4241627,0.5810266
0.2738514,0.4427848,0.4425227,0.4769145,0.3921791,0.4911854,0.5495959,0.5739369,0.4965084,0.4322851,0.5764669
0.2707263,0.4674096,0.4382459,0.4588677,0.3958328,0.4987343,0.5788378,0.5916564,0.5228193,0.4288195,0.5886929
0.263558,0.4870398,0.4474813,0.460141,0.4159581,0.4586255,0.5864468,0.6026251,0.5177035,0.4184955,0.5974767
0.2714111,0.5147721,0.4478596,0.4512933,0.4262121,0.4394996,0.5731906,0.6018447,0.4985033,0.4292888,0.5991682
0.2822357,0.491725,0.4621449,0.4464545,0.4600807,0.4538892,0.5819078,0.5774187,0.5063831,0.4584962,0.5705713
0.2708277,0.5002132,0.4668533,0.4561464,0.4798003,0.4535279,0.5944479,0.5963799,0.5146222,0.461931,0.571361
0.2869573,0.4818748,0.4754131,0.4463844,0.4758398,0.4550102,0.614695,0.5935984,0.5204229,0.4329511,0.5888799
0.2686282,0.4949737,0.4811385,0.4391527,0.4636546,0.4552637,0.6199647,0.594206,0.5555008,0.4603851,0.5752783
0.2762963,0.4868978,0.4722034,0.4361186,0.4801257,0.4997634,0.6374729,0.5750971,0.5315835,0.4549796,0.5573189
0.2707523,0.4862867,0.4694557,0.4596189,0.4834258,0.497,0.6608477,0.5870131,0.5348057,0.4300579,0.5417029
